,Hairline,Settlement,Structural,annotated_image,image,datetime
0,1,0,0,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\b6a950739e_1716369676.png,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\d272fb92a4_1716369676.png,2024-05-22 17:21:16.407816
1,1,0,0,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\03a080e9c6_1716369677.png,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\223dbcfe52_1716369677.png,2024-05-22 17:21:17.254587
2,1,0,0,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\7a4490b0c0_1716369678.png,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\6b70a7f297_1716369678.png,2024-05-22 17:21:18.111365
