,Hairline,Settlement,Structural,annotated_image,image,datetime
0,1,0,0,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\e99d93d3da_1716369672.png,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\ac830d7cbc_1716369672.png,2024-05-22 17:21:12.223766
1,1,0,0,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\f5e5786f68_1716369673.png,D:\VSCode Projects\thesis-vuejs-fastapi\backend\./output_folder\9aecec5c0f_1716369673.png,2024-05-22 17:21:13.085791
